@relation dTree

@attribute x {S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19}
@attribute y {S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19}
@attribute r {0, -300, 300}

@data
S14,S14,0
S14,S15,0
S14,S14,0
S14,S14,0
S14,S14,0
S14,S13,0
S14,S13,0
S14,S14,0
S15,S14,0
S15,S13,0
S15,S14,0
S15,S14,0
S16,S14,0
S16,S15,0
S15,S15,0
S15,S14,0
S16,S14,0
S16,S14,0
S16,S13,300
S15,S13,0
S14,S13,0
S14,S13,0
S14,S13,0
S13,S13,0
S14,S13,0
S13,S13,0
S13,S13,0
S13,S14,0
S13,S15,0
S13,S14,0
S13,S14,0
S13,S15,0
S12,S15,0
S12,S16,0
S12,S16,0
S11,S16,0
S11,S15,0
S12,S15,0
S12,S14,0
S12,S14,0
S12,S15,0
S12,S14,0
S12,S13,0
S12,S12,0
S12,S11,0
S12,S10,0
S12,S9,0
S11,S9,0
S12,S9,0
S11,S9,0
S10,S9,0
S10,S10,0
S10,S9,0
S9,S9,0
S9,S10,0
S10,S10,0
S11,S10,0
S11,S10,0
S12,S10,0
S13,S10,0
S13,S9,0
S14,S9,300
S15,S9,0
S16,S9,0
S16,S10,0
S15,S10,300
S15,S10,300
S16,S10,0
S16,S10,0
S15,S10,300
S15,S11,300
S15,S11,300
S14,S11,0
S13,S11,0
S14,S11,0
S14,S10,0
S13,S10,0
S14,S10,0
S15,S10,300
S16,S10,0
S16,S11,0
S15,S11,300
S14,S11,0
S15,S11,300
S16,S11,0
S15,S11,300
S14,S11,0
S13,S11,0
S13,S10,0
S13,S10,0
S14,S10,0
S14,S9,300
S14,S10,0
S15,S10,300
S16,S10,0
S17,S10,0
S17,S11,0
S17,S12,0
S17,S13,0
S17,S14,300
S16,S14,0
S16,S15,0
S16,S16,0
S16,S16,0
S15,S16,0
S15,S16,0
S15,S16,0
S15,S16,0
S16,S16,0
S16,S17,0
S16,S16,0
S16,S17,0
S15,S17,0
S16,S17,0
S16,S17,0
S16,S17,0
S16,S16,0
S16,S16,0
S15,S16,0
S15,S15,0
S16,S15,0
S16,S14,0
S16,S15,0
S17,S15,300
S18,S15,0
S18,S16,0
S18,S17,300
S18,S17,300
S19,S17,-300
S19,S18,-300
S19,S18,-300
S19,S18,-300
S18,S18,300
S18,S17,300
S18,S18,300
S18,S18,300
S19,S18,-300
S18,S18,300
S17,S18,0
S16,S18,0
S15,S18,0
S16,S18,0
S16,S19,-300
S15,S19,-300
S16,S19,-300
S17,S19,-300
S17,S18,0
S18,S18,300
S18,S19,-300
S18,S19,-300
S17,S19,-300
S16,S19,-300
S17,S19,-300
S17,S18,0
S18,S18,300
S18,S19,-300
S18,S18,300
S18,S18,300
S18,S18,300
S18,S19,-300
S19,S19,-300
S19,S19,-300
S19,S18,-300
S19,S19,-300
S18,S19,-300
S18,S18,300
S18,S17,300
S18,S18,300
S18,S18,300
S19,S18,-300
S19,S18,-300
S19,S18,-300
S19,S17,-300
S19,S18,-300
S19,S19,-300
S19,S19,-300
S19,S18,-300
S18,S18,300
S19,S18,-300
S18,S18,300
S17,S18,0
S18,S18,300
S18,S17,300
S18,S17,300
S17,S17,0
S16,S17,0
S16,S16,0
S16,S15,0
S16,S14,0
S16,S15,0
S16,S14,0
S17,S14,300
S17,S13,0
S17,S14,300
S17,S14,300
S16,S14,0
S16,S13,300
S16,S12,300
S16,S13,300
S17,S13,0
S18,S13,0
S17,S13,0
S17,S14,300
S18,S14,0
S18,S14,0
S18,S15,0
S17,S15,300
S17,S16,300
S17,S16,300
S18,S16,0
S18,S17,300
S18,S17,300
S18,S18,300
S18,S17,300
S18,S17,300
S18,S18,300
S18,S18,300
S18,S19,-300
S19,S19,-300
S19,S19,-300
S18,S19,-300
S18,S19,-300
S18,S18,300
S18,S17,300
S18,S18,300
S17,S18,0
S18,S18,300
S17,S18,0
S16,S18,0
S15,S18,0
S15,S18,0
S15,S17,0
S15,S17,0
S14,S17,0
S14,S18,0
S14,S18,0
S14,S17,0
S13,S17,0
S14,S17,0
S13,S17,0
S12,S17,0
S12,S17,0
S12,S17,0
S12,S18,0
S12,S18,0
S11,S18,0
S10,S18,0
S10,S19,-300
S9,S19,-300
S10,S19,-300
S11,S19,-300
S11,S19,-300
S12,S19,-300
S11,S19,-300
S11,S18,0
S10,S18,0
S10,S17,0
S10,S17,0
S9,S17,0
S8,S17,0
S8,S18,0
S9,S18,0
S9,S18,0
S9,S19,-300
S9,S18,0
S9,S18,0
S9,S19,-300
S10,S19,-300
S9,S19,-300
S10,S19,-300
S10,S18,0
S10,S17,0
S10,S17,0
S10,S18,0
S10,S18,0
S10,S18,0
S11,S18,0
S12,S18,0
S12,S19,-300
S12,S19,-300
S12,S19,-300
S11,S19,-300
S10,S19,-300
S10,S19,-300
S11,S19,-300
S11,S18,0
S10,S18,0
S11,S18,0
S11,S19,-300
S12,S19,-300
S12,S18,0
S12,S17,0
S12,S18,0
S11,S18,0
S12,S18,0
S12,S17,0
S12,S16,0
S12,S17,0
S12,S18,0
S12,S18,0
S12,S18,0
S12,S19,-300
S12,S19,-300
S11,S19,-300
S12,S19,-300
S11,S19,-300
S12,S19,-300
S12,S19,-300
S12,S19,-300
S12,S19,-300
S12,S19,-300
S13,S19,-300
S14,S19,-300
S15,S19,-300
S15,S18,0
