Q	a	r
q14	0	0
q14	4	0
q14	0	0
q14	3	0
q6	0	300
q6	1	300
q6	3	300
q4	0	0
q4	1	0
q4	3	0
q2	4	0
q2	1	0
q2	4	0
q2	0	0
q2	4	0
q2	2	0
q4	3	0
q2	4	0
q2	2	0
q4	1	0
q3	3	300
q2	2	0
q3	3	300
q2	2	0
q3	2	300
q5	1	0
q5	3	0
q3	4	300
q3	2	300
q5	3	0
q3	1	300
q1	3	0
q0	4	300
q0	4	300
q0	4	300
q0	4	300
q0	0	300
q2	2	0
q3	2	300
q5	1	0
q1	4	0
q1	4	0
q1	3	0
q1	3	0
q0	0	300
q2	2	0
q3	3	300
q2	4	0
q2	0	0
q2	2	0
q3	3	300
q2	4	0
q2	2	0
q3	3	300
q2	2	0
q3	1	300
q3	3	300
q2	4	0
q2	1	0
q0	4	300
q0	4	300
q0	4	300
q0	0	300
q2	1	0
q0	2	300
q1	3	0
q0	2	300
q1	3	0
q0	4	300
q0	0	300
q2	0	0
q2	2	0
q3	0	300
q4	0	0
q4	1	0
q4	4	0
q4	1	0
q3	3	300
q2	2	0
q3	3	300
q2	0	0
q2	2	0
q4	4	0
q4	3	0
q2	0	0
q2	2	0
q4	0	0
q8	0	0
q8	3	0
q8	0	0
q13	2	0
q13	3	0
q13	4	0
q13	4	0
q13	0	0
q13	0	0
q13	2	0
q13	3	0
q13	0	0
q13	0	0
q13	4	0
q13	4	0
q13	4	0
q13	2	0
q13	2	0
q13	2	0
q17	0	0
q17	1	0
q17	2	0
q30	0	0
q32	2	0
q32	0	0
q32	4	0
q32	4	0
q32	0	0
q32	3	0
q32	3	0
q17	2	0
q32	1	0
q32	4	0
q32	3	0
q17	1	0
q17	2	0
q32	0	0
q32	0	0
q32	4	0
q32	1	0
q32	4	0
q32	3	0
q17	4	0
q17	4	0
q17	0	0
q17	3	0
q13	0	0
q13	0	0
q13	2	0
q17	3	0
q13	2	0
q17	3	0
q13	3	0
q13	1	0
q13	2	0
q13	0	0
q13	4	0
q13	4	0
